PFT,g0_mean,g0_std,g1_mean,g1_std,r2_mean,r2_std
CRO,0.01655096095888973,0.010586164946084376,3.8234375067234074,6.415042856500728,0.6232608196608722,0.11874728146813848
CSH,0.01517753969326906,0.008657160960614424,6.488391292844344,9.64558335985954,0.7311025404347397,0.044880298682419995
DBF,0.01449945602609641,0.007915153982450468,3.556599068832743,6.815190705743074,0.7894760735513743,0.10516608816833853
ENF,0.013430152563295774,0.009238746283035983,8.082601333231185,22.624807238019166,0.7620585457395168,0.1350851168175643
GRA,0.017187613187303656,0.013680308041333413,4.416878122433795,12.700790528866847,0.5649599035058598,0.22303398429928842
MF,0.019099604722888852,0.01253023770497948,9.583916407515568,18.40845218217537,0.6737478563282171,0.19835632856902924
WSA,0.011496833716854029,0.009880505614307365,24.911659910015622,28.545432674166186,0.8611312785499469,0.10249070954350509
