PFT,g0_mean,g0_std,g1_mean,g1_std,r2_mean,r2_std
CRO,0.17335817439136778,0.20243230313103444,0.27898362238560787,0.4147941986765782,-0.21904010141658725,0.8568161686882418
CSH,0.08112560568900694,0.13137043367085527,0.3649941323355922,0.5790212676628435,-0.47521045573901544,0.7405552067503319
DBF,0.01947384059472756,0.094079635600485,0.007471070052992025,0.020713866215851293,-0.5268637151833347,0.39273094883760773
ENF,0.040706364017735475,0.20099335646757446,0.005172065788523393,0.00691093556652252,-0.5316145066771196,0.3921281985782111
GRA,0.11232571817636292,0.2263376542615061,0.0011518511016016517,0.010181468511136134,-0.6274933824707778,0.6232639958908027
MF,0.0002938591810634144,3.67627355898912e-05,0.005142535668609752,0.0006433478728230961,-0.3232493824979399,0.2181366441467395
WSA,0.021969546600588797,0.04204629637948075,0.9665950025585582,1.8709755651829236,-0.710224170529091,1.142407740106211
