PFT,g0_mean,g0_std,g1_mean,g1_std,r2_mean,r2_std
CRO,0.4894914785724279,0.17643801894776326,0.3587809262773454,0.46455717511552863,0.5819538616626468,0.06448333975730364
CSH,0.5685055023112775,0.2915275876896972,1.7837166990151332,2.7868025995025625,0.7118916046296672,0.0332745462757762
DBF,0.4189208814394345,0.23256625542147566,1.7315719315692577,2.873845018553305,0.7838524265804997,0.10350482412698725
ENF,0.4748104862266504,0.25812711220857687,1.8451517933981456,4.269644905498835,0.7045259884457686,0.16377806686534405
GRA,0.5021806054881802,0.2730769139880269,3.5286728620753136,10.369570234337086,0.3905798712284395,0.5013672130817344
MF,0.5135177462757096,0.2861728302913564,2.406296672483055,4.479251739154731,0.670693881789536,0.18186407992950712
WSA,0.40434635436882244,0.24143270754317023,3.018964192818291,4.598009813125129,0.8034416893774075,0.10968009340204841
