PFT,g1_mean,g1_std,lai_mean,lai_std,r2_mean,r2_std
CRO,5.79,0.0,0.6898437065846926,0.066903346009847,0.5931857489358715,0.11096995826345775
CSH,4.7,0.0,1.045265330633634,0.0,0.44227791112596454,5.551115123125783e-17
DBF,4.45,0.0,0.8762042141471967,0.11379859158346513,0.2675734575989341,0.3092847407423208
ENF,2.35,0.0,1.0972660739712008,0.13596753937054987,-0.18153678265737155,0.29461694257828175
GRA,5.25,0.0,0.9474153327867565,0.14240993055642825,0.6377211875809388,0.3913433085874199
