,PFT,count,g0,g1,r2
/home/adam/scratch/data/changjie/MAT_DATA/FR-Gri.mat,CRO,1880.0,0.36483478994512525,0.8907822074629271,0.636834766844524
/home/adam/scratch/data/changjie/MAT_DATA/DE-Gri.mat,GRA,5062.0,0.6079864919632628,0.2590443561384847,0.491230298719634
/home/adam/scratch/data/changjie/MAT_DATA/AU-How.mat,WSA,13795.0,0.054084350768550726,10.352416809144044,0.9754270563208478
/home/adam/scratch/data/changjie/MAT_DATA/US-Blo.mat,ENF,16565.0,0.1014828505859353,3.777133329815369,0.9206164281805015
/home/adam/scratch/data/changjie/MAT_DATA/BE-Lon.mat,CRO,4380.0,0.6830923607241437,-0.03581285393052983,0.5408474030977479
/home/adam/scratch/data/changjie/MAT_DATA/FR-LBr.mat,ENF,4051.0,0.496606551793813,0.1791093400218809,0.6524380312648618
/home/adam/scratch/data/changjie/MAT_DATA/US-KS2.mat,CSH,4832.0,0.09309610727540218,6.328302507903023,0.7661541601580236
/home/adam/scratch/data/changjie/MAT_DATA/US-WCr.mat,DBF,6415.0,0.7649083476409567,0.015227626092486998,0.7085899334298009
/home/adam/scratch/data/changjie/MAT_DATA/AT-Neu.mat,GRA,4994.0,0.8749097139116648,-0.006019511774668243,0.487144028643254
/home/adam/scratch/data/changjie/MAT_DATA/IT-MBo.mat,GRA,7457.0,0.6926649155218908,-0.0022966645214909,-0.05868727978150612
/home/adam/scratch/data/changjie/MAT_DATA/US-Var.mat,GRA,12256.0,0.7848782966058646,-0.01566755102677965,0.466103969043541
/home/adam/scratch/data/changjie/MAT_DATA/BE-Vie.mat,MF,13941.0,0.7168521219518126,-0.004516125240187848,0.5399475039326178
/home/adam/scratch/data/changjie/MAT_DATA/US-IB2.mat,GRA,5838.0,0.7521581575813387,-0.012766272706861084,0.41582197643240715
/home/adam/scratch/data/changjie/MAT_DATA/DE-Kli.mat,CRO,3632.0,0.592468429131232,-0.014938738963234782,0.5691306781757368
/home/adam/scratch/data/changjie/MAT_DATA/DK-Sor.mat,DBF,2580.0,0.11577103019049194,4.131164124319251,0.8502140426787357
/home/adam/scratch/data/changjie/MAT_DATA/US-MMS.mat,DBF,13772.0,0.41504062164375544,0.4361990547132682,0.7911094581681637
/home/adam/scratch/data/changjie/MAT_DATA/US-ARM.mat,CRO,7895.0,0.22520060854868587,1.0353671727873053,0.6814569250583966
/home/adam/scratch/data/changjie/MAT_DATA/CH-Cha.mat,GRA,3198.0,0.4573978100457795,-0.0027074243958616425,-0.708969242112307
/home/adam/scratch/data/changjie/MAT_DATA/CH-Dav.mat,ENF,4866.0,0.2235794576737817,1.6367044394608234,0.8467587034680872
/home/adam/scratch/data/changjie/MAT_DATA/CA-Gro.mat,MF,3672.0,0.19436204194067258,2.0747087186668094,0.9167241281555502
/home/adam/scratch/data/changjie/MAT_DATA/US-Me2.mat,ENF,12912.0,0.07372594503673084,5.710361263767049,0.946587313911808
